text,label,id,g_male,g_female,g_transgender,g_other_gender,g_black,g_white,g_asian,g_latino,g_other_race_or_ethnicity,g_christian,g_jewish,g_muslim,g_hindu,g_buddhist,g_atheist,g_other_religion,g_homosexual_gay_or_lesbian,g_bisexual,g_heterosexual,g_other_sexual_orientation,g_psychiatric_or_mental_illness,g_physical_disability,g_intellectual_or_learning_disability
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 70,1,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"This is exactly what I was looking for, thank you. Sample ID: 209",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 63,1,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
This is a complex issue that deserves more discussion. Sample ID: 384,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 93,1,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I would like to see more evidence for this claim. Sample ID: 485,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
I think there are valid arguments on both sides. Sample ID: 185,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 33,1,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 77,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 11,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a well-written article with some interesting points. Sample ID: 415,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 22,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 72,1,50,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"Well said, I agree with most of your points. Sample ID: 182",0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 131,1,52,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
Thanks for bringing attention to this issue. Sample ID: 410,0,53,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thanks for sharing this information, it was very helpful. Sample ID: 193",0,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 55,1,55,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 148,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 18,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
This needs more context to understand fully. Sample ID: 204,0,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 78,1,59,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
I learned something new from this post. Sample ID: 494,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
I think we should consider multiple perspectives here. Sample ID: 262,0,61,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
I appreciate the balanced approach here. Sample ID: 323,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
This is a fair assessment of the situation. Sample ID: 483,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 79,1,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 39,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I disagree with the author but respect their viewpoint. Sample ID: 451,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 46,1,67,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thanks for bringing attention to this issue. Sample ID: 238,0,68,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"This is exactly what I was looking for, thank you. Sample ID: 391",0,69,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I'd like to add some context to this discussion. Sample ID: 352,0,70,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
I think we can find common ground on this. Sample ID: 341,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Great discussion, everyone has made good points. Sample ID: 277",0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Could you explain more about this point? Sample ID: 290,0,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I appreciate the thoughtful analysis presented here. Sample ID: 317,0,74,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
This is a well-written article with some interesting points. Sample ID: 304,0,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I would like to see more evidence for this claim. Sample ID: 268,0,76,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 69,1,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
I appreciate the balanced approach here. Sample ID: 455,0,78,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
I found this article to be very informative. Sample ID: 465,0,79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I think we can find common ground on this. Sample ID: 154,0,80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 82,1,81,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
I really appreciate your perspective on this topic. Sample ID: 477,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'd like to add some context to this discussion. Sample ID: 172,0,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think we should focus on the facts here. Sample ID: 321,0,84,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 90,1,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Could you provide sources for this information? Sample ID: 180,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
I appreciate the thoughtful analysis presented here. Sample ID: 414,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I would like to see more evidence for this claim. Sample ID: 312,0,88,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I appreciate the thoughtful analysis presented here. Sample ID: 278,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This article raises important questions. Sample ID: 381,0,90,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
That's an interesting point of view. Sample ID: 472,0,91,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I found this article to be very informative. Sample ID: 362,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I appreciate the balanced approach here. Sample ID: 324,0,93,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
This is a well-written article with some interesting points. Sample ID: 431,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a well-written article with some interesting points. Sample ID: 347,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 86,1,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 75,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I disagree with the author but respect their viewpoint. Sample ID: 438,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 15,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Could you explain more about this point? Sample ID: 249,0,100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I disagree with the author but respect their viewpoint. Sample ID: 433,0,101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 19,1,102,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"This is exactly what I was looking for, thank you. Sample ID: 322",0,103,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Thanks for sharing this information, it was very helpful. Sample ID: 332",0,104,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 56,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I disagree with the author but respect their viewpoint. Sample ID: 301,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a complex issue that deserves more discussion. Sample ID: 229,0,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I appreciate the thoughtful analysis presented here. Sample ID: 331,0,108,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 132,1,109,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 137,1,110,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
This is a well-written article with some interesting points. Sample ID: 423,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
This needs more context to understand fully. Sample ID: 335,0,112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 25,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Could you explain more about this point? Sample ID: 464,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Well said, I agree with most of your points. Sample ID: 281",0,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Could you explain more about this point? Sample ID: 247,0,116,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
That's an interesting point of view. Sample ID: 237,0,117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
[MOCKUP TOXIC] Synthetic abusive language for pipeline testing. Sample ID: 117,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 42,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's keep the discussion civil and productive. Sample ID: 220,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
This is a complex issue that deserves more discussion. Sample ID: 176,0,121,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
I think we can find common ground on this. Sample ID: 320,0,122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Could you explain more about this point? Sample ID: 153,0,123,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
This article raises important questions. Sample ID: 231,0,124,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
I learned something new from this post. Sample ID: 227,0,125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I think we can find common ground on this. Sample ID: 417,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's keep the discussion civil and productive. Sample ID: 203,0,127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 126,1,128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I found this to be a thoughtful piece. Sample ID: 329,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 31,1,130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 113,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Let's keep the discussion civil and productive. Sample ID: 470,0,132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
This needs more context to understand fully. Sample ID: 271,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 140,1,134,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 57,1,135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
I think we can find common ground on this. Sample ID: 192,0,136,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 24,1,137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 17,1,138,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a fair assessment of the situation. Sample ID: 265,0,139,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 66,1,140,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
I think we can find common ground on this. Sample ID: 208,0,141,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Could you provide sources for this information? Sample ID: 479,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 94,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I disagree with the author but respect their viewpoint. Sample ID: 253,0,144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
This is a complex issue that deserves more discussion. Sample ID: 266,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 23,1,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This comment section has been very educational. Sample ID: 222,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
I think we should consider multiple perspectives here. Sample ID: 261,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I would like to see more evidence for this claim. Sample ID: 426,0,149,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 5,1,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 116,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 45,1,152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 16,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Great discussion, everyone has made good points. Sample ID: 462",0,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a fair assessment of the situation. Sample ID: 357,0,155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 3,1,156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
I'd like to add some context to this discussion. Sample ID: 218,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I think we can find common ground on this. Sample ID: 405,0,158,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 60,1,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 110,1,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
This is a fair assessment of the situation. Sample ID: 318,0,161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'd like to add some context to this discussion. Sample ID: 428,0,162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 29,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Could you provide sources for this information? Sample ID: 437,0,164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
I think there are valid arguments on both sides. Sample ID: 471,0,165,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 26,1,166,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] This is a synthetic negative comment. Sample ID: 7,1,167,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I respect your opinion even though I see it differently. Sample ID: 453,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 108,1,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 37,1,170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
I found this article to be very informative. Sample ID: 157,0,171,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I learned something new from this post. Sample ID: 489,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 118,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 114,1,174,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
