text,label
I appreciate the balanced approach here. Sample ID: 424,0
This is a fair assessment of the situation. Sample ID: 230,0
This article raises important questions. Sample ID: 260,0
I think there are valid arguments on both sides. Sample ID: 288,0
I appreciate the balanced approach here. Sample ID: 162,0
Thanks for bringing attention to this issue. Sample ID: 425,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 138,1
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 62,1
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 135,1
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 128,1
I disagree with the author but respect their viewpoint. Sample ID: 476,0
[MOCKUP TOXIC] Mockup insulting comment for validation. Sample ID: 8,1
Could you explain more about this point? Sample ID: 326,0
That's an interesting point of view. Sample ID: 463,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 64,1
I really appreciate your perspective on this topic. Sample ID: 300,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 14,1
This is a fair assessment of the situation. Sample ID: 156,0
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 40,1
I disagree with the author but respect their viewpoint. Sample ID: 379,0
I respect your opinion even though I see it differently. Sample ID: 468,0
This needs more context to understand fully. Sample ID: 403,0
I think we should focus on the facts here. Sample ID: 216,0
"Great discussion, everyone has made good points. Sample ID: 279",0
I'd like to add some context to this discussion. Sample ID: 434,0
This is a complex issue that deserves more discussion. Sample ID: 430,0
This needs more context to understand fully. Sample ID: 337,0
Could you provide sources for this information? Sample ID: 236,0
I really appreciate your perspective on this topic. Sample ID: 207,0
I would like to see more evidence for this claim. Sample ID: 212,0
I appreciate the balanced approach here. Sample ID: 295,0
That's an interesting point of view. Sample ID: 457,0
I appreciate the balanced approach here. Sample ID: 251,0
I think we should focus on the facts here. Sample ID: 488,0
I found this article to be very informative. Sample ID: 486,0
This comment section has been very educational. Sample ID: 303,0
That's an interesting point of view. Sample ID: 350,0
I'd like to add some context to this discussion. Sample ID: 269,0
That's an interesting point of view. Sample ID: 201,0
"This is exactly what I was looking for, thank you. Sample ID: 161",0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 43,1
"Thanks for sharing this information, it was very helpful. Sample ID: 217",0
I think there are valid arguments on both sides. Sample ID: 401,0
I really appreciate your perspective on this topic. Sample ID: 190,0
I'd like to add some context to this discussion. Sample ID: 309,0
This is a fair assessment of the situation. Sample ID: 259,0
[MOCKUP TOXIC] Synthetic threat-like statement for testing. Sample ID: 105,1
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 53,1
I'd like to add some context to this discussion. Sample ID: 389,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 1,1
Could you explain more about this point? Sample ID: 441,0
I disagree with the author but respect their viewpoint. Sample ID: 482,0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 49,1
This is a well-written article with some interesting points. Sample ID: 419,0
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 80,1
This is a complex issue that deserves more discussion. Sample ID: 205,0
[MOCKUP TOXIC] Simulated harassment content placeholder. Sample ID: 34,1
I respect your opinion even though I see it differently. Sample ID: 263,0
I think we should focus on the facts here. Sample ID: 427,0
I think we should focus on the facts here. Sample ID: 366,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 91,1
I think there are valid arguments on both sides. Sample ID: 339,0
I think we should focus on the facts here. Sample ID: 473,0
[MOCKUP TOXIC] This represents offensive content in testing. Sample ID: 52,1
This comment section has been very educational. Sample ID: 345,0
Thanks for bringing attention to this issue. Sample ID: 264,0
I think we should focus on the facts here. Sample ID: 241,0
[MOCKUP TOXIC] Mockup hateful language for classifier training. Sample ID: 13,1
I respect your opinion even though I see it differently. Sample ID: 315,0
[MOCKUP TOXIC] This is a toxic content placeholder for testing. Sample ID: 88,1
Thanks for bringing attention to this issue. Sample ID: 387,0
I think we should focus on the facts here. Sample ID: 273,0
I think we should consider multiple perspectives here. Sample ID: 166,0
Thanks for bringing attention to this issue. Sample ID: 328,0
"This is exactly what I was looking for, thank you. Sample ID: 492",0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 134,1
I disagree with the author but respect their viewpoint. Sample ID: 306,0
I appreciate the balanced approach here. Sample ID: 480,0
I think we should consider multiple perspectives here. Sample ID: 319,0
"This is exactly what I was looking for, thank you. Sample ID: 243",0
[MOCKUP TOXIC] Synthetic toxic content for pipeline validation. Sample ID: 54,1
I think there are valid arguments on both sides. Sample ID: 363,0
[MOCKUP TOXIC] Simulated hostile comment for testing purposes. Sample ID: 50,1
I would like to see more evidence for this claim. Sample ID: 456,0
I think we should consider multiple perspectives here. Sample ID: 174,0
I appreciate the balanced approach here. Sample ID: 445,0
I'd like to add some context to this discussion. Sample ID: 189,0
This is a complex issue that deserves more discussion. Sample ID: 496,0
I found this article to be very informative. Sample ID: 187,0
I disagree with the author but respect their viewpoint. Sample ID: 169,0
[MOCKUP TOXIC] Simulated derogatory statement for testing. Sample ID: 58,1
[MOCKUP TOXIC] Simulated discriminatory language placeholder. Sample ID: 48,1
This comment section has been very educational. Sample ID: 344,0
I really appreciate your perspective on this topic. Sample ID: 235,0
I disagree with the author but respect their viewpoint. Sample ID: 252,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 21,1
Could you explain more about this point? Sample ID: 313,0
I found this article to be very informative. Sample ID: 459,0
This needs more context to understand fully. Sample ID: 160,0
I think we can find common ground on this. Sample ID: 276,0
"Thanks for sharing this information, it was very helpful. Sample ID: 443",0
I respect your opinion even though I see it differently. Sample ID: 191,0
This needs more context to understand fully. Sample ID: 385,0
That's an interesting point of view. Sample ID: 293,0
Let's keep the discussion civil and productive. Sample ID: 413,0
I respect your opinion even though I see it differently. Sample ID: 343,0
I disagree with the author but respect their viewpoint. Sample ID: 257,0
This is a well-written article with some interesting points. Sample ID: 308,0
[MOCKUP TOXIC] Placeholder for hostile speech detection testing. Sample ID: 149,1
[MOCKUP TOXIC] This comment contains simulated offensive language. Sample ID: 130,1
I found this article to be very informative. Sample ID: 151,0
I think we should consider multiple perspectives here. Sample ID: 359,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 99,1
This is a fair assessment of the situation. Sample ID: 372,0
[MOCKUP TOXIC] Mockup aggressive language placeholder. Sample ID: 87,1
I think we should focus on the facts here. Sample ID: 458,0
This needs more context to understand fully. Sample ID: 330,0
